timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621877483655,221,HTTP Request,200,OK,Users 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466666545&user=1964509753&conf=3,221,0,1
1621877484651,223,HTTP Request,200,OK,Users 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466666545&user=1964509753&conf=3,223,0,0
1621877485152,215,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466666545&user=1964509753&conf=3,215,0,0
1621877485651,227,HTTP Request,200,OK,Users 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,227,0,1
1621877486151,216,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,216,0,0
1621877486653,216,HTTP Request,200,OK,Users 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466666545&user=1964509753&conf=3,216,0,0
1621877486650,237,HTTP Request,200,OK,Users 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466666545&user=1964509753&conf=3,237,0,1
1621877487151,223,HTTP Request,200,OK,Users 1-3,text,true,,367,155,4,4,http://localhost:8080/?token=466666545&user=1964509753&conf=3,223,0,0
1621877487651,231,HTTP Request,200,OK,Users 1-2,text,true,,367,155,5,5,http://localhost:8080/?token=466666545&user=1964509753&conf=3,231,0,0
1621877487651,238,HTTP Request,200,OK,Users 1-5,text,true,,367,155,5,5,http://localhost:8080/?token=466666545&user=1964509753&conf=3,238,0,0
1621877488153,241,HTTP Request,200,OK,Users 1-1,text,true,,367,155,5,5,http://localhost:8080/?token=466666545&user=1964509753&conf=3,241,0,0
1621877488150,248,HTTP Request,200,OK,Users 1-4,text,true,,367,155,5,5,http://localhost:8080/?token=466666545&user=1964509753&conf=3,248,0,0
1621877488651,219,HTTP Request,200,OK,Users 1-3,text,true,,367,155,6,6,http://localhost:8080/?token=466666545&user=1964509753&conf=3,219,0,0
1621877488650,230,HTTP Request,200,OK,Users 1-6,text,true,,367,155,6,6,http://localhost:8080/?token=466666545&user=1964509753&conf=3,230,0,0
1621877489150,228,HTTP Request,200,OK,Users 1-5,text,true,,367,155,6,6,http://localhost:8080/?token=466666545&user=1964509753&conf=3,228,0,0
1621877489150,234,HTTP Request,200,OK,Users 1-2,text,true,,367,155,6,6,http://localhost:8080/?token=466666545&user=1964509753&conf=3,234,0,0
1621877489651,249,HTTP Request,200,OK,Users 1-4,text,true,,367,155,7,7,http://localhost:8080/?token=466666545&user=1964509753&conf=3,249,0,0
1621877489654,247,HTTP Request,200,OK,Users 1-1,text,true,,367,155,7,7,http://localhost:8080/?token=466666545&user=1964509753&conf=3,247,0,0
1621877489651,265,HTTP Request,200,OK,Users 1-7,text,true,,367,155,7,7,http://localhost:8080/?token=466666545&user=1964509753&conf=3,265,0,1
1621877490150,234,HTTP Request,200,OK,Users 1-6,text,true,,367,155,7,7,http://localhost:8080/?token=466666545&user=1964509753&conf=3,234,0,0
1621877490152,234,HTTP Request,200,OK,Users 1-3,text,true,,367,155,7,7,http://localhost:8080/?token=466666545&user=1964509753&conf=3,234,0,0
1621877490650,231,HTTP Request,200,OK,Users 1-2,text,true,,367,155,8,8,http://localhost:8080/?token=466666545&user=1964509753&conf=3,231,0,0
1621877490651,230,HTTP Request,200,OK,Users 1-5,text,true,,367,155,8,8,http://localhost:8080/?token=466666545&user=1964509753&conf=3,230,0,0
1621877490652,243,HTTP Request,200,OK,Users 1-8,text,true,,367,155,8,8,http://localhost:8080/?token=466666545&user=1964509753&conf=3,243,0,0
1621877491153,231,HTTP Request,200,OK,Users 1-1,text,true,,367,155,8,8,http://localhost:8080/?token=466666545&user=1964509753&conf=3,231,0,0
1621877491151,236,HTTP Request,200,OK,Users 1-4,text,true,,367,155,8,8,http://localhost:8080/?token=466666545&user=1964509753&conf=3,236,0,0
1621877491151,236,HTTP Request,200,OK,Users 1-7,text,true,,367,155,8,8,http://localhost:8080/?token=466666545&user=1964509753&conf=3,236,0,0
1621877491650,236,HTTP Request,200,OK,Users 1-6,text,true,,367,155,9,9,http://localhost:8080/?token=466666545&user=1964509753&conf=3,236,0,0
1621877491652,236,HTTP Request,200,OK,Users 1-3,text,true,,367,155,9,9,http://localhost:8080/?token=466666545&user=1964509753&conf=3,236,0,0
1621877491652,251,HTTP Request,200,OK,Users 1-9,text,true,,367,155,9,9,http://localhost:8080/?token=466666545&user=1964509753&conf=3,251,0,0
1621877492151,238,HTTP Request,200,OK,Users 1-5,text,true,,367,155,9,9,http://localhost:8080/?token=466666545&user=1964509753&conf=3,238,0,0
1621877492151,238,HTTP Request,200,OK,Users 1-2,text,true,,367,155,9,9,http://localhost:8080/?token=466666545&user=1964509753&conf=3,238,0,0
1621877492153,239,HTTP Request,200,OK,Users 1-8,text,true,,367,155,9,9,http://localhost:8080/?token=466666545&user=1964509753&conf=3,239,0,0
1621877492650,236,HTTP Request,200,OK,Users 1-4,text,true,,367,155,10,10,http://localhost:8080/?token=466666545&user=1964509753&conf=3,236,0,0
1621877492654,240,HTTP Request,200,OK,Users 1-1,text,true,,367,155,10,10,http://localhost:8080/?token=466666545&user=1964509753&conf=3,240,0,0
1621877492651,245,HTTP Request,200,OK,Users 1-7,text,true,,367,155,10,10,http://localhost:8080/?token=466666545&user=1964509753&conf=3,244,0,0
1621877492651,247,HTTP Request,200,OK,Users 1-10,text,true,,367,155,10,10,http://localhost:8080/?token=466666545&user=1964509753&conf=3,247,0,0
1621877493150,243,HTTP Request,200,OK,Users 1-6,text,true,,367,155,10,10,http://localhost:8080/?token=466666545&user=1964509753&conf=3,243,0,0
1621877493152,245,HTTP Request,200,OK,Users 1-9,text,true,,367,155,10,10,http://localhost:8080/?token=466666545&user=1964509753&conf=3,245,0,0
1621877493152,247,HTTP Request,200,OK,Users 1-3,text,true,,367,155,10,10,http://localhost:8080/?token=466666545&user=1964509753&conf=3,247,0,0
1621877493652,241,HTTP Request,200,OK,Users 1-8,text,true,,367,155,11,11,http://localhost:8080/?token=466666545&user=1964509753&conf=3,241,0,0
1621877493651,244,HTTP Request,200,OK,Users 1-2,text,true,,367,155,11,11,http://localhost:8080/?token=466666545&user=1964509753&conf=3,244,0,0
1621877493651,244,HTTP Request,200,OK,Users 1-5,text,true,,367,155,11,11,http://localhost:8080/?token=466666545&user=1964509753&conf=3,244,0,0
1621877493651,250,HTTP Request,200,OK,Users 1-11,text,true,,367,155,11,11,http://localhost:8080/?token=466666545&user=1964509753&conf=3,250,0,0
1621877494151,252,HTTP Request,200,OK,Users 1-10,text,true,,367,155,11,11,http://localhost:8080/?token=466666545&user=1964509753&conf=3,252,0,0
1621877494153,251,HTTP Request,200,OK,Users 1-1,text,true,,367,155,11,11,http://localhost:8080/?token=466666545&user=1964509753&conf=3,251,0,0
1621877494150,254,HTTP Request,200,OK,Users 1-4,text,true,,367,155,11,11,http://localhost:8080/?token=466666545&user=1964509753&conf=3,254,0,0
1621877494151,253,HTTP Request,200,OK,Users 1-7,text,true,,367,155,11,11,http://localhost:8080/?token=466666545&user=1964509753&conf=3,253,0,0
1621877494651,249,HTTP Request,200,OK,Users 1-6,text,true,,367,155,12,12,http://localhost:8080/?token=466666545&user=1964509753&conf=3,249,0,0
1621877494653,256,HTTP Request,200,OK,Users 1-3,text,true,,367,155,12,12,http://localhost:8080/?token=466666545&user=1964509753&conf=3,256,0,0
1621877494653,256,HTTP Request,200,OK,Users 1-9,text,true,,367,155,12,12,http://localhost:8080/?token=466666545&user=1964509753&conf=3,256,0,0
